Week	Date	Lecture Slides	Tuesday Lab	Thursday Lab
1	T Aug 28	[Intro/Science](https://crumplab.github.io/psyc3400/Presentations/1_a_intro.html#1)	[1: Intro/Graphing](https://crumplab.github.io/statisticsLab/lab-1-graphing-data.html)	
	Th Aug 30	[DataVis](https://crumplab.github.io/psyc3400/Presentations/1_b_datavis.html#1)		[1: Intro/Graphing](https://crumplab.github.io/statisticsLab/lab-1-graphing-data.html)
2	T Sep 4	[Central Tendency](https://crumplab.github.io/psyc3400/Presentations/2-Descriptives.html#1)	[2: Descriptives](https://crumplab.github.io/statisticsLab/lab-2-descriptive-statistics.html)	
	Th Sep 6	[Variance](https://crumplab.github.io/psyc3400/Presentations/2b_variation.html#1)		[2: Descriptives](https://crumplab.github.io/statisticsLab/lab-2-descriptive-statistics.html)
**No class**	**T Sep 11**	**No Class**	[R Basics (homework)](https://crumplab.github.io/psyc3400/lab3_rbasics/RBasics.html)	
3	Th Sep 13	[Correlation](https://crumplab.github.io/psyc3400/Presentations/3a_correlation.html#1)		[R Basics](https://crumplab.github.io/psyc3400/lab3_rbasics/RBasics.html)
**No class**	**T Sep 18**	**No Class**		
	Th Sep 20	[Regression](https://crumplab.github.io/psyc3400/Presentations/3b_regression.html#1)		[3: Correlation](https://crumplab.github.io/statisticsLab/lab-3-correlation.html)
4	T Sep 25	[Distributions](https://crumplab.github.io/psyc3400/Presentations/4a_Distribution.html#1)	[3: Correlation](https://crumplab.github.io/statisticsLab/lab-3-correlation.html)	
	Th Sep 27	[Sampling](https://crumplab.github.io/psyc3400/Presentations/4b_Sampling.html#1)		[4: Central Limit Theorem](https://crumplab.github.io/statisticsLab/lab-4-normal-distribution-central-limit-theorem.html)
5	T Oct 2	[Foundations for inference](https://crumplab.github.io/psyc3400/Presentations/5a_foundations.html#1)	[4: Central Limit Theorem](https://crumplab.github.io/statisticsLab/lab-4-normal-distribution-central-limit-theorem.html)	
	Th Oct 4	[Randomization test](https://crumplab.github.io/psyc3400/Presentations/5b_randomization.html#1)		[5. Hypothesis Testing](https://crumplab.github.io/statisticsLab/lab-5-fundamentals-of-hypothesis-testing.html)
6	T Oct 9	[one-sample t tests](https://crumplab.github.io/psyc3400/Presentations/6a_ttest.html#1)	[5. Hypothesis Testing](https://crumplab.github.io/statisticsLab/lab-5-fundamentals-of-hypothesis-testing.html)	
	Th Oct 11	[paired sample t-tests](https://crumplab.github.io/psyc3400/Presentations/6b_paired.html#1)		[6. T-tests 1](https://crumplab.github.io/statisticsLab/lab-6-t-test-one-sample-paired-sample.html)
7	T Oct 16	[Independent t-tests](https://crumplab.github.io/psyc3400/Presentations/6c_ind.html#1)	[6. T-tests 1](https://crumplab.github.io/statisticsLab/lab-6-t-test-one-sample-paired-sample.html)	
	Th Oct 18	Midterm review		Midterm Study
8	T Oct 23	**Midterm**	Midterm Study	
	Th Oct 25	ANOVA foundations		[7.  T-tests 2](https://crumplab.github.io/statisticsLab/lab-7-t-test-independent-sample.html)
9	T Oct 30	[One-factor ANOVA I](https://crumplab.github.io/psyc3400/Presentations/7a_indANOVA.html#1)	[7.  T-tests 2](https://crumplab.github.io/statisticsLab/lab-7-t-test-independent-sample.html)	
	Th Nov 1	[One-factor ANOVA II](https://crumplab.github.io/psyc3400/Presentations/7b_indANOVA.html#1)		[8. One-way ANOVA](https://crumplab.github.io/statisticsLab/lab-8-one-way-anova.html)
10	T Nov 6	[Repeated measures ANOVA I](https://crumplab.github.io/psyc3400/Presentations/8a_rmANOVA.html#1)	[8. One-way ANOVA](https://crumplab.github.io/statisticsLab/lab-8-one-way-anova.html)	
	Th Nov 8	Repeated measures ANOVA		[9. RM ANOVA](https://crumplab.github.io/statisticsLab/lab-9-repeated-measures-anova.html)
11	T Nov 13	[Factorial ANOVA I](https://crumplab.github.io/psyc3400/Presentations/9a_factorialANOVA.html#1)	[9. RM ANOVA](https://crumplab.github.io/statisticsLab/lab-9-repeated-measures-anova.html)	
	Th Nov 15	Extra Credit Review		[10. Factorial ANOVA](https://crumplab.github.io/statisticsLab/lab-10-factorial-anova.html)
12	T Nov 20	[Factorial ANOVA II](https://crumplab.github.io/psyc3400/Presentations/9b_factorialANOVA.html#1)	[10. Factorial ANOVA](https://crumplab.github.io/statisticsLab/lab-10-factorial-anova.html)	
No Class	Th Nov 22	No Class		
	T Nov 27	Mixed Design ANOVAs II	[11. Mixed ANOVA](https://crumplab.github.io/statisticsLab/lab-11-mixed-factorial-anova.html)	
13	Th Nov 29	[Data Simulation I](https://crumplab.github.io/psyc3400/Presentations/10a_datasim.html#1)		[11. Mixed ANOVA](https://crumplab.github.io/statisticsLab/lab-11-mixed-factorial-anova.html)
	T Dec 4	[R Markdown](https://crumplab.github.io/psyc3400/Presentations/10b_Rstuff.html#1)	12. Flex lab	
14	Th Dec 6	Reproducible Science		Final Study
	T Dec 11	Final Review	Final Study	
Reading Day	Th Dec 13	Reading Day		
		Final Exam		
