Week,Lecture,Date,Topic,Slides,Lab
1,1,T Aug 28,Intro/Science,TBD,1: Intro/Graphing
,2,Th Aug 30,DataVis,TBD,
2,3,T Sep 4,Central Tendency,TBD,2: Descriptives
,4,Th Sep 6,Variance,TBD,
No class,No Class,T Sep 11,No Class,,
3,5,Th Sep 13,Correlation,TBD,3: Correlation
No class,No Class,T Sep 18,No Class,,
,6,Th Sep 20,Regression,TBD,
4,7,T Sep 25,Distributions,TBD,4: Central Limit Theorem
,8,Th Sep 27,Sampling,TBD,
5,9,T Oct 2,Foundations for inference,TBD,5. Hypothesis Testing
,10,Th Oct 4,Randomization test,TBD,
6,11,T Oct 9,one-sample t tests,TBD,6. T-tests 1
,12,Th Oct 11,paired sample t-tests,TBD,
7,13,T Oct 16,Independent t-tests,TBD,7.  T-tests 2
,14,Th Oct 18,Midterm review,TBD,
8,15,T Oct 23,Midterm,TBD,Midterm Study
,16,Th Oct 25,ANOVA foundations,TBD,
9,17,T Oct 30,one-way ANOVA,TBD,8. One-way ANOVA
,18,Th Nov 1,Comparisons,TBD,
10,19,T Nov 6,Repeated measures ANOVA,TBD,9. RM ANOVA
,20,Th Nov 8,Comparisons,TBD,
11,21,T Nov 13,Factorial ANOVA I,TBD,10. Factorial ANOVA
,22,Th Nov 15,Factorial ANOVA II,TBD,
12,23,T Nov 20,Mixed Design ANOVAs I,TBD,11. Mixed ANOVA
No Class,No Class,Th Nov 22,No Class,,
,24,T Nov 27,Mixed Design ANOVAs II,TBD,
13,25,Th Nov 29,Data Simulation I,TBD,12. Flex lab
,26,T Dec 4,Data Simulation II,TBD,
14,27,Th Dec 6,Reproducible Science,TBD,Final Study
,28,T Dec 11,Final Review,TBD,
Reading Day,Reading Day,Th Dec 13,Reading Day,,
,Final Exam,,Final Exam,,
